journal	category1	category2	category3	category4	category5	category6
2D MATERIALS	MATERIALS SCIENCE, MULTIDISCIPLINARY					
3 BIOTECH	BIOTECHNOLOGY & APPLIED MICROBIOLOGY					
3D PRINTING AND ADDITIVE MANUFACTURING	ENGINEERING, MANUFACTURING	MATERIALS SCIENCE, MULTIDISCIPLINARY				
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH	OPERATIONS RESEARCH & MANAGEMENT SCIENCE					
AAPG BULLETIN	GEOSCIENCES, MULTIDISCIPLINARY					
AAPS JOURNAL	PHARMACOLOGY & PHARMACY					
AAPS PHARMSCITECH	PHARMACOLOGY & PHARMACY					
AATCC JOURNAL OF RESEARCH	MATERIALS SCIENCE, TEXTILES					
AATCC REVIEW	CHEMISTRY, APPLIED	ENGINEERING, CHEMICAL	MATERIALS SCIENCE, TEXTILES			
ABDOMINAL RADIOLOGY	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING					
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG	MATHEMATICS					
ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY	CHEMISTRY, MULTIDISCIPLINARY					
ACADEMIC EMERGENCY MEDICINE	EMERGENCY MEDICINE					
ACADEMIC MEDICINE	EDUCATION, SCIENTIFIC DISCIPLINES	HEALTH CARE SCIENCES & SERVICES				
ACADEMIC PEDIATRICS	PEDIATRICS					
ACADEMIC RADIOLOGY	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING					
ACAROLOGIA	ENTOMOLOGY					
ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE	MEDICAL ETHICS					
ACCOUNTS OF CHEMICAL RESEARCH	CHEMISTRY, MULTIDISCIPLINARY					
ACCREDITATION AND QUALITY ASSURANCE	CHEMISTRY, ANALYTICAL					
ACI MATERIALS JOURNAL	CONSTRUCTION & BUILDING TECHNOLOGY	MATERIALS SCIENCE, MULTIDISCIPLINARY				
ACI STRUCTURAL JOURNAL	CONSTRUCTION & BUILDING TECHNOLOGY	ENGINEERING, CIVIL	MATERIALS SCIENCE, MULTIDISCIPLINARY			
ACM COMPUTING SURVEYS	COMPUTER SCIENCE, THEORY & METHODS					
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS					
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	ENGINEERING, ELECTRICAL & ELECTRONIC	NANOSCIENCE & NANOTECHNOLOGY			
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW	COMPUTER SCIENCE, INFORMATION SYSTEMS					
ACM TRANSACTIONS ON ALGORITHMS	COMPUTER SCIENCE, THEORY & METHODS	MATHEMATICS, APPLIED				
ACM TRANSACTIONS ON APPLIED PERCEPTION	COMPUTER SCIENCE, SOFTWARE ENGINEERING					
