journal	category
ACOUSTICAL PHYSICS	ACOUSTICS
ACOUSTICS AUSTRALIA	ACOUSTICS
ACTA ACUSTICA UNITED WITH ACUSTICA	ACOUSTICS
APPLIED ACOUSTICS	ACOUSTICS
ARCHIVES OF ACOUSTICS	ACOUSTICS
EURASIP JOURNAL ON AUDIO SPEECH AND MUSIC PROCESSING	ACOUSTICS
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL	ACOUSTICS
IEEE-ACM TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING	ACOUSTICS
INTERNATIONAL JOURNAL OF ACOUSTICS AND VIBRATION	ACOUSTICS
INTERNATIONAL JOURNAL OF AEROACOUSTICS	ACOUSTICS
JOURNAL OF CLINICAL ULTRASOUND	ACOUSTICS
JOURNAL OF COMPUTATIONAL ACOUSTICS	ACOUSTICS
JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL	ACOUSTICS
JOURNAL OF SOUND AND VIBRATION	ACOUSTICS
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA	ACOUSTICS
JOURNAL OF THE AUDIO ENGINEERING SOCIETY	ACOUSTICS
JOURNAL OF ULTRASOUND IN MEDICINE	ACOUSTICS
JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME	ACOUSTICS
JOURNAL OF VIBRATION AND CONTROL	ACOUSTICS
NOISE CONTROL ENGINEERING JOURNAL	ACOUSTICS
PHONETICA	ACOUSTICS
SHOCK AND VIBRATION	ACOUSTICS
SOUND AND VIBRATION	ACOUSTICS
SPEECH COMMUNICATION	ACOUSTICS
ULTRASCHALL IN DER MEDIZIN	ACOUSTICS
ULTRASONIC IMAGING	ACOUSTICS
ULTRASONICS	ACOUSTICS
ULTRASONICS SONOCHEMISTRY	ACOUSTICS
ULTRASOUND IN MEDICINE AND BIOLOGY	ACOUSTICS
ULTRASOUND IN OBSTETRICS & GYNECOLOGY	ACOUSTICS
WAVE MOTION	ACOUSTICS
AGREKON	AGRICULTURAL ECONOMICS & POLICY
AGRIBUSINESS	AGRICULTURAL ECONOMICS & POLICY
AGRICULTURAL ECONOMICS	AGRICULTURAL ECONOMICS & POLICY
AGRICULTURAL ECONOMICS-ZEMEDELSKA EKONOMIKA	AGRICULTURAL ECONOMICS & POLICY
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS	AGRICULTURAL ECONOMICS & POLICY
ANNUAL REVIEW OF RESOURCE ECONOMICS	AGRICULTURAL ECONOMICS & POLICY
APPLIED ECONOMIC PERSPECTIVES AND POLICY	AGRICULTURAL ECONOMICS & POLICY
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS	AGRICULTURAL ECONOMICS & POLICY
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE	AGRICULTURAL ECONOMICS & POLICY
CHINA AGRICULTURAL ECONOMIC REVIEW	AGRICULTURAL ECONOMICS & POLICY
CUSTOS E AGRONEGOCIO ON LINE	AGRICULTURAL ECONOMICS & POLICY
EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS	AGRICULTURAL ECONOMICS & POLICY
FOOD POLICY	AGRICULTURAL ECONOMICS & POLICY
GERMAN JOURNAL OF AGRICULTURAL ECONOMICS	AGRICULTURAL ECONOMICS & POLICY
INTERNATIONAL FOOD AND AGRIBUSINESS MANAGEMENT REVIEW	AGRICULTURAL ECONOMICS & POLICY
JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS	AGRICULTURAL ECONOMICS & POLICY
JOURNAL OF AGRICULTURAL ECONOMICS	AGRICULTURAL ECONOMICS & POLICY
AMA-AGRICULTURAL MECHANIZATION IN ASIA AFRICA AND LATIN AMERICA	AGRICULTURAL ENGINEERING
APPLIED ENGINEERING IN AGRICULTURE	AGRICULTURAL ENGINEERING
AQUACULTURAL ENGINEERING	AGRICULTURAL ENGINEERING
BIOMASS & BIOENERGY	AGRICULTURAL ENGINEERING
BIORESOURCE TECHNOLOGY	AGRICULTURAL ENGINEERING
BIOSYSTEMS ENGINEERING	AGRICULTURAL ENGINEERING
ENGENHARIA AGRICOLA	AGRICULTURAL ENGINEERING
INDUSTRIAL CROPS AND PRODUCTS	AGRICULTURAL ENGINEERING
INTERNATIONAL JOURNAL OF AGRICULTURAL AND BIOLOGICAL ENGINEERING	AGRICULTURAL ENGINEERING
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING	AGRICULTURAL ENGINEERING
PADDY AND WATER ENVIRONMENT	AGRICULTURAL ENGINEERING
